Xn,Yn,Isyn1,WWx,Ax,Dx,RMtrx,Prelx,Inhx,time
0.20167133272967536,0.07908358048563496,6.86287359530169e-06,6.804110745429028e-05,0.007968050801461558,1.3686540910923407e-06,0.26454308457536624,0.004864724967361567,0.0005889298748793393,13585000
0.2004454552072349,0.0782927446807786,6.848984368589671e-06,6.804110751205673e-05,0.007888370293446939,1.3002213865378097e-06,0.26457272686392774,0.0050456462626945475,0.0005854240054837469,13595000
0.19922392810197026,0.0775098172339708,6.834904059298773e-06,6.80411075684653e-05,0.007809486590512468,1.2352103172110053e-06,0.2646022950467678,0.005228185907843574,0.0005819296248833093,13605000
0.19800678699329022,0.07673471906163107,6.82063570379413e-06,6.804110762349063e-05,0.007731391724607342,1.1734498013505414e-06,0.26463178930915077,0.00541235629329162,0.0005784468505907385,13615000
0.19679406631397356,0.07596737187101474,6.806182318564678e-06,6.804110767711418e-05,0.007654077807361267,1.1147773112831003e-06,0.2646612098358778,0.00559816995073481,0.0005749757966607599,13625000
0.1955857993695439,0.07520769815230458,6.791546900099565e-06,6.804110772932369e-05,0.007577537029287653,1.0590384457190314e-06,0.26469055681128806,0.005785639554048871,0.0005715165737470063,13635000
0.19438201835737146,0.07445562117078153,6.776732424771157e-06,6.804110778011252e-05,0.007501761658994775,1.0060865234331658e-06,0.2647198304192597,0.005974777920277119,0.0005680692891581283,13645000
0.19318275438550547,0.0737110649590737,6.761741848724595e-06,6.804110782947901e-05,0.007426744042404825,9.557821972615938e-07,0.26474903084321155,0.006165598010639428,0.0005646340469131273,13655000
0.1919880374912411,0.07297395430948295,6.746578107773679e-06,6.804110787742601e-05,0.007352476601980776,9.079930873986006e-07,0.2647781582661034,0.0063581129315614104,0.0005612109477959243,13665000
0.19079789665942348,0.07224421476638809,6.731244117302963e-06,6.804110792396037e-05,0.007278951835960968,8.62593433028757e-07,0.26480721287043807,0.006552335935725684,0.0005578000894091704,13675000
0.18961235984049307,0.0715217726187242,6.71574277217596e-06,6.804110796909246e-05,0.007206162317601357,8.194637613774056e-07,0.26483619483826193,0.006748280423142794,0.0005544015662273119,13685000
